,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
606,73833,2,48,322,8.522,69.456,24
607,88713,1,8,322,8.0,17.975,59
608,67384,4,32,322,7.578,43.79,55
609,94372,5,96,321,7.692,267.466,43
610,79130,2,20,319,6.207,18.334,45
611,108261,1,20,318,8.612,27.177,72
612,65942,1,50,318,7.631,52.969,25
613,82728,3,154,317,8.521,110.082,7
614,71694,6,60,317,8.549,88.908,42
615,85404,1,16,316,8.381,14.4,60
616,63522,5,44,315,7.344,21.504,26
617,96658,1,10,315,6.5,22.036,25
618,77459,1,10,314,7.008,14.267,44
619,70573,3,30,314,7.269,26.842,35
620,103506,1,4,313,7.155,9.482,56
621,92433,1,25,313,6.9,16.032,50
622,62255,2,24,312,7.883,24.586,24
623,198102,1,7,312,8.08,92.879,0
624,103026,1,6,312,7.4,8.017,45
625,100074,2,12,311,7.346,13.058,44
626,103787,3,26,310,7.1,8.379,32
627,63647,1,3,309,6.974,22.787,85
628,96716,2,20,309,8.0,16.945,0
629,111837,1,8,307,6.9,34.956,0
630,103992,1,10,306,7.355,19.838,30
631,133727,2,20,306,7.337,47.354,29
632,83135,2,20,306,6.721,27.561,55
633,84052,1,6,305,6.87,15.295,55
634,100963,1,8,305,7.5,8.065,27
635,81292,1,10,304,7.273,13.553,45
636,84503,3,46,304,8.087,24.963,11
637,128876,1,3,302,8.5,13.37,157
638,94423,1,10,302,7.21,10.587,24
639,68427,2,12,301,7.003,15.29,50
640,83685,1,10,301,6.9,20.29,60
641,114461,1,8,301,8.048,954.747,0
642,126525,1,3,301,7.463,14.384,15
